id	filename	md5	size	state
0ebb4214-7ec2-4fbb-8891-5f303e492662	0ebb4214-7ec2-4fbb-8891-5f303e492662/STING_p_TCGAb_356_357_NSP_GenomeWideSNP_6_H10_1388174.nocnv_grch38.seg.v2.txt	ddb891890ee4fed7b43ae4bed812c419	4851	validated
1545fb5f-377c-4516-a825-f176861b13ee	1545fb5f-377c-4516-a825-f176861b13ee/CYMES_p_TCGAb_389_390_NSP_GenomeWideSNP_6_C07_1464318.nocnv_grch38.seg.v2.txt	2f2f2e840f54f0270e7db13a0c4afa50	12334	validated
234c4a22-de7c-46dc-aff9-60e62ca4baf5	234c4a22-de7c-46dc-aff9-60e62ca4baf5/CLEAR_p_TCGA_b91_SNP_1N_GenomeWideSNP_6_C09_755588.nocnv_grch38.seg.v2.txt	e55f1a242abf9be2086282e7ec3dc540	8696	validated
2befb34a-cca1-4071-9a10-62ea82697543	2befb34a-cca1-4071-9a10-62ea82697543/VOLVA_p_TCGA_b91_SNP_2N_GenomeWideSNP_6_E04_755562.nocnv_grch38.seg.v2.txt	2cfa5bcb1f05209acdb9be8c1fd7d91f	5254	validated
3411e4d3-28cb-4666-94c6-6b8a65dea04a	3411e4d3-28cb-4666-94c6-6b8a65dea04a/CLEAR_p_TCGA_b91_SNP_1N_GenomeWideSNP_6_A09_755660.nocnv_grch38.seg.v2.txt	96ec86e5332eca51cb126004db126227	13252	validated
3dd82543-f43f-4877-b9a9-b43aea65fcfe	3dd82543-f43f-4877-b9a9-b43aea65fcfe/STING_p_TCGAb_356_357_NSP_GenomeWideSNP_6_H06_1388228.nocnv_grch38.seg.v2.txt	906d7b66cb2c34d5293d0aa8fef07398	5252	validated
4673538d-d0ae-4833-ab4d-f3b9b4d1984b	4673538d-d0ae-4833-ab4d-f3b9b4d1984b/MICHE_p_TCGAb_428_429_NSP_GenomeWideSNP_6_E12_1521478.nocnv_grch38.seg.v2.txt	bff827764d17170166dc01fe13c21aaf	16094	validated
51660716-9e16-4f77-8f51-ebb90cba3bdc	51660716-9e16-4f77-8f51-ebb90cba3bdc/WITED_p_TCGA_b161_171_SNP_N_GenomeWideSNP_6_D05_845022.nocnv_grch38.seg.v2.txt	5cfb198b170eb32d348a3b9e1bd95d69	6771	validated
5c59be77-b95d-45db-905d-2c8e76b75a84	5c59be77-b95d-45db-905d-2c8e76b75a84/SNAKE_p_TCGAb_429_NSP_GenomeWideSNP_6_E06_1521146.nocnv_grch38.seg.v2.txt	eb1327ec57b80b97c71eefcb44c81d3a	40035	validated
5fc1e74f-9978-4e36-a004-01b48e29e93b	5fc1e74f-9978-4e36-a004-01b48e29e93b/CLADE_p_TCGASNP_184_195_N_GenomeWideSNP_6_F05_1039920.nocnv_grch38.seg.v2.txt	46ef9176f85b4dff366063a69fb1f6bc	5886	validated
65435a9e-7eae-40d0-90e8-8e01cdefbc29	65435a9e-7eae-40d0-90e8-8e01cdefbc29/VOLVA_p_TCGA_b91_SNP_2N_GenomeWideSNP_6_C11_755382.nocnv_grch38.seg.v2.txt	6296653cc7e8db0d7159de2db2154e19	14950	validated
65fe6474-a1f3-477f-86b1-0d3a3f5567aa	65fe6474-a1f3-477f-86b1-0d3a3f5567aa/SNAKE_p_TCGAb_429_NSP_GenomeWideSNP_6_A02_1521114.nocnv_grch38.seg.v2.txt	2cf3cb18dde4580645a9ef31fd00b2da	11199	validated
6bc1aa40-b0d9-4cf4-ab42-5a62c6d7756e	6bc1aa40-b0d9-4cf4-ab42-5a62c6d7756e/ODDLY_p_TCGASNP_165_184_N_GenomeWideSNP_6_C09_1051544.nocnv_grch38.seg.v2.txt	73d589318442094f79bcc3d7adf4b6b0	4452	validated
71d0cabf-f744-4eca-95ef-eb202fcc3059	71d0cabf-f744-4eca-95ef-eb202fcc3059/VOLVA_p_TCGA_b91_SNP_2N_GenomeWideSNP_6_B07_755390.nocnv_grch38.seg.v2.txt	e05439a326bd17fa485a14c25ec3c6f7	4221	validated
797ada2e-7b1b-49cb-9089-8793549341f4	797ada2e-7b1b-49cb-9089-8793549341f4/CLEAR_p_TCGA_b91_SNP_1N_GenomeWideSNP_6_C03_755642.nocnv_grch38.seg.v2.txt	4fae865565915fbd7cc326f9f1463e61	7866	validated
79c70d67-59d8-42bf-a6c8-fdb934fb604f	79c70d67-59d8-42bf-a6c8-fdb934fb604f/MICHE_p_TCGAb_428_429_NSP_GenomeWideSNP_6_C11_1521390.nocnv_grch38.seg.v2.txt	0b0222df2f07a3b555db2b6b4e3b266f	19096	validated
7bb88521-3fc1-436f-b8ec-b50d59dda4a9	7bb88521-3fc1-436f-b8ec-b50d59dda4a9/CYMES_p_TCGAb_389_390_NSP_GenomeWideSNP_6_A07_1464418.nocnv_grch38.seg.v2.txt	92f3a1ff352bf501b87f4e8ada6ef66f	20904	validated
7d5e22f0-faf6-40cc-988b-d608694c00bf	7d5e22f0-faf6-40cc-988b-d608694c00bf/CUPEL_p_TCGAb_370_371_372_NSP_GenomeWideSNP_6_C04_1438636.nocnv_grch38.seg.v2.txt	8be1c1e6ebe47e3be46592b98a5b6723	5540	validated
802ecfef-7e52-42ba-8126-1370f81e2d00	802ecfef-7e52-42ba-8126-1370f81e2d00/SNAKE_p_TCGAb_429_NSP_GenomeWideSNP_6_D12_1520988.nocnv_grch38.seg.v2.txt	ddec5b3b36b9d2645a3b287e3329e287	3191	validated
84d85bd3-f1d5-4489-ae4d-6190ad5d75d8	84d85bd3-f1d5-4489-ae4d-6190ad5d75d8/SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D03_1361492.nocnv_grch38.seg.v2.txt	44a2849b0282bbfea55664fac77e7ae4	6514	validated
86bce101-186c-458f-9534-2d8365661c74	86bce101-186c-458f-9534-2d8365661c74/VOLVA_p_TCGA_b91_SNP_2N_GenomeWideSNP_6_A06_755448.nocnv_grch38.seg.v2.txt	94b97792f4f02d2f36a1041e48df774e	36229	validated
890a47ba-0394-4e46-b45e-c9014f2f1b74	890a47ba-0394-4e46-b45e-c9014f2f1b74/SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_C11_1361432.nocnv_grch38.seg.v2.txt	6c6c55906a86dcb31473b40cbdb71fa7	6504	validated
